北京协和医院	nth
治疗	vn
后	f
随访	v
至	p
1	m
年	qt
，	w
以	p
安全性	n
和	cc
耐受性	gb
为	p
研究	vn
重点	n
。	w
86.5	m
%	nx
的	ude1
受试者	n
IGA	nx
基线	n
为	p
3	m
(	w
中度	b
)	w
，	w
其余	rz
为	p
4	m
(	w
重度	b
)	w
。	w
受试者	n
每天	t
一	m
次	qv
用	p
HP	nx
/	w
 	w
TAZ	nx
乳液	nmc
，	w
治疗	vn
8	m
周	qt
，	w
然后	c
根据	p
需要	v
进行	vn
治疗	vn
。	w
治疗	vn
区域	n
仅	d
允许	v
应用	vn
研究者	nnt
批准	v
的	ude1
非	b
药物	n
清洁剂	n
，	w
保湿	nz
剂	q
和	cc
防晒剂	nz
；	w
研究	vn
中	f
不	d
允许	v
使用	v
其他	rzv
护肤品	n
。	w
评估	vn
分别	d
在	p
基线	n
，	w
第	mq
2	m
周	qt
和	cc
第	mq
4	m
周	qt
进行	vn
，	w
之后	f
每	rz
4	m
周	qt
进行	vn
一	m
次	qv
。	w

	w
IGA	nx
评分	vn
0	m
或	c
1	m
（	w
皮损	n
消除	v
或	c
几乎	d
消除	v
）	w
定义	n
为	p
治疗	vn
成功	a
的	ude1
标准	n
。	w
第	mq
8	m
周	qt
没有	v
治疗	vn
成功	a
的	ude1
受试者	n
将	d
再	d
治疗	vn
4	m
周	qt
；	w
否则	c
，	w
他们	rr
将	d
不再	d
接受	v
HP	nx
/	w
TAZ	nx
洗剂	nz
治疗	vn
。	w
所有	b
受试者	n
在	p
第	mq
12	m
周	qt
进行	vn
评估	vn
；	w
那些	rz
皮损	n
IGA	nx
评分	vn
对比	vn
基线	n
水平	n
改善	v
≥	w
1	m
级	q
的	ude1
患者	n
继续	v
参与	v
研究	vn
。	w
只有	c
26	m
人	n
(	w
4.7	m
%	nx
)	w
在	p
第	mq
12	m
周	qt
因	p
缺乏	v
疗效	n
而	cc
停药	v
。	w
继续	v
治疗	vn
以	p
4	m
周为	nr
一个	mq
周期	n
。	w
未	d
达到	v
治疗	vn
成功	a
的	ude1
受试者	n
每天	t
使用	v
一	m
次	qv
HP	nx
/	w
TAZ	nx
洗液	nz
，	w
连续	a
用	p
4	m
周	qt
；	w
下	f
一	m
次	qv
评估	vn
时	qt
达到	v
治疗	vn
成功	a
的	ude1
受试者	n
将	d
不再	d
用药	n
，	w
最长	d
的	ude1
持续	vd
用药	n
时间	n
为	p
24	m
周	qt
。	w
连续	a
治疗	vn
24	m
周后	nr
没有	v
取得	v
治疗	vn
成功	a
的	ude1
受试者	n
将	d
被	pbei
终止	v
治疗	vn
。	w
这项	r
研究	vn
与	cc
其他	rzv
应用	vn
生物制剂	gb
治疗	vn
中重度	n
银屑病	nhd
患者	n
的	ude1
长期	d
试验	vn
结果	n
一致	a
[	w
6	m
]	w
，	w
约	d
五	m
分之一	n
（	w
20.9	m
％	w
）	w
的	ude1
受试者	n
在	p
24	m
周时	nr
因	p
缺乏	v
疗效	n
而	cc
停止	v
治疗	vn
。	w
坚持	v
局部	n
治疗	vn
的	ude1
研究	vn
数据	n
显示	v
治疗	vn
效果	n
比	p
预期	vn
的	ude1
要好	a
[	w
7,8	m
]	w
。	w

	w
AE	nx
发生率	n
与	cc
主要	b
研究	vn
中	f
报道	v
的	ude1
相似	a
，	w
即	v
在	p
第	mq
60	m
天	qt
达到	v
高峰	n
，	w
从	p
第	mq
90	m
天	qt
到	v
研究	vn
结束	v
保持稳定	v
（	w
图	n
1	m
）	w
。	w
在	p
任何	rz
指定	v
治疗	vn
期内	f
，	w
≥	w
2	m
％	w
的	ude1
受试者	n
报告	n
的	ude1
治疗	vn
相关	vn
AE	nx
包括	v
应用	vn
部位	n
的	ude1
皮炎	n
，	w
瘙痒	nhd
和	cc
疼痛	an
（	w
表	n
I	nx
）	w
。	w
总体而言	c
，	w
只有	c
7.5	m
％	w
的	ude1
受试者	n
因	p
出现	v
治疗	vn
相关	vn
的	ude1
AE	nx
而	cc
停药	v
：	w
最	d
常见	a
的	ude1
是	vshi
皮炎	n
和	cc
瘙痒	nhd
（	w
各	rz
7	m
人	n
）	w
和	cc
疼痛	an
（	w
6	m
人	n
）	w
。	w
3.3	m
%	nx
的	ude1
受试者	n
出现	v
治疗	vn
突发	vn
严重	a
AEs	nx
 	w
(	w
SAEs	nx
)	w
，	w
但	c
没有	v
一	m
例	n
与	cc
治疗	vn
相关	vn
。	w
三	m
名	q
受试者	n
因	p
SAEs	nx
（	w
蜂窝	n
组织性	n
坏疽	n
，	w
心包	n
积液	n
，	w
小肠	n
腺癌	gb
）	w
而	cc
停药	v
。	w
没有	v
死亡	vi
报告	n
，	w
也	d
未	d
发现	v
其他	rzv
局部	n
皮肤	n
AEs	nx
（	w
例如	v
，	w
皮肤	n
萎缩	vi
，	w
毛囊炎	nhd
，	w
毛细血管	nz
扩张	vn
和	cc
萎缩	vi
纹	ng
）	w
的	ude1
临床	vn
明显	a
趋势	n
。	w
AE	nx
与	cc
用药	n
的	ude1
时间	n
或	c
持续时间	nz
，	w
频率	n
和	cc
使用	v
持续时间	nz
无关	v
。	w
瘙痒	nhd
、	w
干燥	a
和	cc
灼痛	nhd
/	w
刺痛	nhd
的	ude1
严重	a
程度	n
在	p
两	m
周内	nr
有	vyou
明显	a
改善	v
，	w
并	cc
在	p
整个	b
研究	vn
过程	n
中	f
持续改善	v
。	w

	w
总之	c
，	w
我们	rr
报告	n
了	ule
HP	nx
/	w
TAZ	nx
洗剂	nz
单用	n
治疗	vn
中重度	n
银屑病	nhd
1	m
年	qt
的	ude1
长期	d
安全性	n
结果	n
。	w
虽然	c
类似	a
研究	vn
较少	ad
，	w
但	c
报道	v
的	ude1
AEs	nx
与	cc
含有	v
糖皮质激素	gb
和	cc
维甲酸	nz
类	q
的	ude1
产品	n
一致	a
[	w
9,10	m
]	w
。	w
研究	vn
的	ude1
局限性	n
包括	v
开放性	n
研究	vn
设计	vn
和	cc
缺乏	v
1	m
年	qt
以上	f
随访	v
。	w
来源	n
：	w
 	w
JAAD	nx
中文版	n
 	w
CSDCMA	nx
皮科	nit
时	qt
讯	ng
论坛	n
(	w
本	rz
网站	n
所有	b
内容	n
，	w
凡	d
注明	v
来源	n
为	p
“	w
医	ng
脉	ng
通	v
”	w
，	w
版权	n
均	d
归医	nr
脉	ng
通	v
所有	b
，	w
未经	d
授权	v
，	w
任何	rz
媒体	n
、	w
网站	n
或	c
个人	n
不得	vi
转载	v
，	w
否则	c
将	d
追究	v
法律责任	nz
，	w
授权	v
转载	v
时	qt
须	d
注明	v
“	w
来源	n
：	w
医	ng
脉	ng
通	v
”	w
。	w
本	rz
网	n
注明	v
来源	n
为	p
其他	rzv
媒体	n
的	ude1
内容	n
为	p
转载	v
，	w
转载	v
仅	d
作	v
观点	n
分享	v
，	w
版权	n
归	v
原作者	nz
所有	b
，	w
如有	c
侵犯	v
版权	n
，	w
请	v
及时	ad
联系	v
我们	rr
。	w
)
	w
